Message,Type
"Learn from the best! Special offer on data science courses this week.",promotional
"Land your dream job with LinkedIn Premium. Try it free for one month.",promotional
"Exclusive openings: Top companies are hiring now. Apply through us today!",promotional
"Find high-paying remote jobs easily. Sign up and create your profile for free.",promotional
"Your career upgrade awaits! Join our professional network to get hired faster.",promotional
"Build your perfect resume for free and stand out to recruiters.",promotional
"Over 5,000 jobs posted daily! Don’t miss your chance to apply today.",promotional
"Ace your next interview with our coaching sessions. Join now!",promotional
"Get matched to jobs tailored for you. Register today for personalized job alerts.",promotional
"Work abroad! Discover visa-friendly job openings with our expert guidance.",promotional
"Recruiters are looking for talent like you. Update your profile and start applying.",promotional
"Plan your dream vacation today! Get up to 40% off on international flights.",promotional
"Escape to paradise: Special discounts on Maldives packages this month.",promotional
"Travel Europe this summer! Book now to save big on group tours.",promotional
"Weekend getaway deals: Explore nearby destinations starting at just $99.",promotional
"Limited time offer: Book two tickets and get one free. Hurry!",promotional
"Adventure awaits! Exclusive discounts on trekking and adventure tours.",promotional
"Family holiday special: Enjoy 20% off on all-inclusive packages.",promotional
"Luxury for less: Save big on 5-star hotels and resorts worldwide.",promotional
"Fly now, pay later! Easy travel financing available for your dream trip.",promotional
"Discover hidden gems with our personalized travel itineraries. Book today!",promotional
"Need cash fast? Get a personal loan approved in just 24 hours.",promotional
"Buy your dream car with our low-interest auto loans. Apply today!",promotional
"Education loans made easy: Low rates and flexible repayment options.",promotional
"Home loans at just 6.5% interest! Start building your future today.",promotional
"Pay off debts faster with our hassle-free loan consolidation services.",promotional
"Get pre-approved for a business loan in minutes. No collateral needed.",promotional
"Dream big! Secure funding with our long-term personal loans.",promotional
"Special offer: No processing fees on education loans this month.",promotional
"Quick loan disbursement without paperwork. Apply online now!",promotional
"Refinance your loan today and save up to 30% on interest payments.",promotional
"Join FitZone today and get the first 3 months free!",promotional
"Transform your body with personalized diet plans. Sign up now at 20% off.",promotional
"Relax and unwind: Spa services starting at just $49. Book now.",promotional
"Exclusive deal: Get a family subscription to Netflix at a discounted price.",promotional
"Stream unlimited music with Spotify Premium. Get 3 months free today.",promotional
"Feel rejuvenated with our yoga sessions. First week free for new members.",promotional
"Protect your family with our health insurance plans. Get a free quote now.",promotional
"Upgrade to high-speed internet for just $29.99/month. No setup fee.",promotional
"Get your dream wedding planned by our expert team. Discounts available.",promotional
"Try our car maintenance subscription and save on repairs. Sign up today!",promotional
"Work from home and earn $5000 a month! Apply now, no experience needed.",scam
"Invest $200 today and watch it grow to $2000 in just one week!",scam
"Congratulations! You've won a lottery of $1 million. Claim your prize here.",scam
"Start earning big with our exclusive trading platform. Join now!",scam
"Unlock your financial freedom with this simple online trick. Act now!",scam
"Government grants are available for everyone! Apply here to get yours.",scam
"Earn $100 per hour by completing simple surveys. Sign up now.",scam
"You’ve been selected for a high-paying data entry job. No skills required.",scam
"Exclusive offer: Get a free trial of our money-making software today.",scam
"Make quick money with crypto trading. Our experts will guide you.",scam
"Urgent: Your bank account will be deactivated unless verified. Click here.",scam
"Special bonus for new users: Get $100 credited to your account instantly.",scam
"Become a millionaire by joining our premium investment group.",scam
"Exclusive job openings! Earn up to $4000 per week from home.",scam
"Claim your free iPhone by completing this short survey. Act now!",scam
"Your account has been compromised. Verify immediately to avoid suspension.",scam
"Limited offer: Double your income with our secret business strategy.",scam
"Start your online business today with zero investment. Join us now!",scam
"Congratulations! You’ve been approved for a $10,000 loan. Claim now.",scam
"Win a luxury car by participating in our lucky draw. Enter now!",scam
"Urgent: Confirm your payment details to avoid service interruption.",scam
"Get a pre-approved personal loan with no credit check. Apply now!",scam
"Earn passive income by investing in this once-in-a-lifetime opportunity.",scam
"Click here to receive your guaranteed cashback of $500!",scam
"Free vacation giveaway! Claim your ticket to paradise now.",scam
"Congratulations! Your email has won a $50,000 prize. Redeem it today.",scam
"Save 90% on luxury watches. Limited stock available. Order now!",scam
"Exclusive: Buy our premium course and earn $10,000 in 30 days.",scam
"Revolutionary weight loss product available for free trial. Sign up now.",scam
"Start your dropshipping business today with no upfront costs!",scam
"Your payment failed. Update your credit card details to avoid penalties.",scam
"Free access to premium entertainment services. Click here to activate.",scam
"Win big by investing in our fast-growing startup. Secure your spot now.",scam
"Your PayPal account has been suspended. Log in to resolve the issue.",scam
"Limited-time offer: Earn $1000 for every friend you refer to us.",scam
"Exclusive partnership opportunity: Get 50% of profits by joining now.",scam
"Claim your Amazon gift card worth $500. Click here!",scam
"Your account is at risk. Verify your details to secure it.",scam
"Work as a virtual assistant and earn $3000 per week. Apply now.",scam
"Congratulations! Your mobile number has won a free vacation.",scam
"Be your own boss! Start earning from home with no investment.",scam
"Guaranteed returns on your investments! Join our platform today.",scam
"Free gift for first 100 sign-ups. Don’t miss this opportunity.",scam
"Urgent: Your tax refund is pending. Submit your information to claim.",scam
"Earn money effortlessly with our proven affiliate program.",scam
"Your subscription is expiring soon. Renew now to avoid cancellation.",scam
"Special offer: Get unlimited internet access for just $1.99/month.",scam
"Claim your $100 cashback by clicking the link below.",scam
"Earn $500 daily by completing simple online tasks.",scam
"Your credit card details need to be updated immediately.",scam
"Turn $100 into $5000 with our exclusive trading strategy.",scam
"Congratulations! You’ve been selected for a free gold membership.",scam
"Secure your future with our guaranteed investment plans.",scam
"Win exciting prizes by signing up for our membership program.",scam
"Your account is being accessed from another location. Verify here.",scam
"Special deal: Earn money while you sleep by joining our program.",scam
"Your tax return has been flagged. Resolve it by clicking here.",scam
"Win $1000 gift cards just by answering a few questions.",scam
"Exclusive access to our premium trading app. Start earning today.",scam
"Limited seats available for our millionaire mentorship program.",scam
"Act now and double your money with our risk-free investment plan.",scam
"Your social security number is at risk. Verify your details now.",scam
"Join our elite team and start earning up to $5000 per week.",scam
"Win free groceries for a year! Enter our contest today.",scam
"Get $300 instantly by signing up for ourpromotional offer.",scam
"Earn $2000 monthly by renting out your unused storage space.",scam
"Urgent: Verify your phone number to continue using our services.",scam
"Exclusive: Save 90% on top luxury brands. Shop now!",scam
"Claim your free laptop by registering with us today.",scam
"Earn $100 just for signing up. Join our program now.",scam
"Unlock lifetime access to premium courses for free. Sign up now.",scam
"Congratulations! You’ve been shortlisted for our special rewards program.",scam
"Receive $250 cashback on your next purchase. Claim it here.",scam
"Special investment offer: Double your returns in 3 months.",scam
"Your email is full. Upgrade your storage for free now.",scam
"Claim your $500 hotel voucher by clicking the link below.",scam
"Win a free cruise for two by joining our loyalty program.",scam
"Exclusive opportunity: Be a part of our fast-growing business.",scam
"Secure your account with an immediate password reset.",scam
"Get a free credit score check by signing up today.",scam
"Congratulations! You’ve been selected for a cash prize draw.",scam
"Work online and earn $100 daily with no special skills required.",scam
"Get pre-approved for a zero-interest loan. Apply now!",scam
"Limited-time offer: Get a free smart TV with every purchase.",scam
"Special alert: Your bank account needs urgent verification.",scam
"Earn up to $500 daily by sharing your opinion in surveys.",scam
"free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s",promotional
"winner as a valued network customer you have been selected to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only",fraud
"had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030",promotional
"six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info",fraud
"urgent you have won a 1 week free membership in our 100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18",fraud
"xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl",promotional
"england v macedonia dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txt120 poboxox36504w45wq 16",promotional
"thanks for your subscription to ringtone uk your mobile will be charged 5month please confirm by replying yes or no if you reply no you will not be charged",scam
"07732584351 rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now 08000930705 for delivery tomorrow",fraud
"sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv",promotional
"congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm dont miss out",fraud
"as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call 09066364589",fraud
"urgent ur awarded a complimentary trip to eurodisinc trav acoentry41 or 1000 to claim txt dis to 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj",fraud
"please call our customer service representative on 0800 169 6031 between 10am9pm as you have won a guaranteed 1000 cash or 5000 prize",fraud
"your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml po box 5249 mk17 92h 450ppw 16",promotional
"gent we are trying to contact you last weekends draw shows that you won a 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm",fraud
"you are a winner u have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910pmin 18",fraud
"private your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires",fraud
"urgent your mobile no was awarded 2000 bonus caller prize on 5903 this is our final try to contact u call from landline 09064019788 box42wr29c 150ppm",fraud
"todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 4041 standard rates app",fraud
"sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277 150 sptyrone",promotional
"customer service annoncement you have a new years delivery waiting for you please call 07046744435 now to arrange delivery",fraud
"you are a winner u have been specially selected 2 receive 1000 cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810810",fraud
"urgent we are trying to contact you last weekends draw shows that you have won a 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs only",fraud
"please call our customer service representative on freephone 0808 145 4742 between 9am11pm as you have won a guaranteed 1000 cash or 5000 prize",fraud
"are you unique enough find out from 30th august wwwareyouuniquecouk",promotional
"Don't wait! Your favorite brand is offering up to 40% off.",promotional
"Just landed! New arrivals you don’t want to miss.",promotional
"Hurry! This exclusive deal expires in 24 hours.",promotional
"Your dream vacation awaits! Save big on flights and hotels.",promotional
"Back in stock! Grab it before it's gone again.",promotional
"Exclusive invite: Be the first to shop our new collection.",promotional
"Mega Sale Alert! Prices slashed on top-rated products.",promotional
"Flash Deal: Buy more, save more! Discounts up to 50%.",promotional
"New subscriber special! Get 20% off your first order.",promotional
"Last call! Extra 10% off sale items today only.",promotional
"Bundle up and save! Special offers on winter essentials.",promotional
"Don't forget! Your exclusive coupon expires soon.",promotional
"Win big! Enter our giveaway for a chance to win exciting prizes.",promotional
"Your bank account will be suspended unless you update your details now.",fraud
"Urgent! Your payment failed. Update your billing information to avoid service interruption.",fraud
"Dear customer, your package is on hold due to unpaid shipping fees. Pay now to release it.",fraud
"You have received an inheritance of $5,000,000. Contact us to process your claim.",fraud
"Apple ID compromised! Click here to reset your password immediately.",fraud
"Final notice: Your PayPal account is at risk. Verify your identity now.",fraud
"Get rich quickly! Invest $100 today and earn $10,000 in a week.",fraud
"Your Netflix subscription has expired. Click here to reactivate your account.",fraud
"Your social security number has been suspended due tofraud. Contact us now.",fraud
"Amazon alert! We couldn't process your payment. Update your details now.",fraud
"Your tax refund is ready. Click here to claim it.",fraud
"Urgent: Your electricity bill is overdue. Pay now to avoid disconnection.",fraud
"Win an iPhone 15 for free! Just answer this quick survey.",fraud
"Suspicious activity detected on your credit card. Click here to secure it.",fraud
"Act now! Your car warranty is about to expire. Renew immediately.",fraud
"Dear user, we are closing inactive accounts. Confirm your login to keep yours active.",fraud
"Your Facebook account will be disabled unless you verify your details now.",fraud
"We have a business proposal for you. You will receive 20% of a $10M transaction.",fraud
"Get early access to Bitcoin profits! Double your money instantly.",fraud
"Your mobile service will be disconnected unless you update your payment details.",fraud
"Important: Your medical insurance policy is expiring soon. Renew now.",fraud
"This is a final warning from the IRS. Pay your overdue taxes now to avoid legal action.",fraud
"Your ATM card has been blocked. Click here to unblock it.",fraud
"Win a luxury vacation for free! Just provide your details to enter.",fraud
"Your WhatsApp account is being accessed from another device. Click to confirm.",fraud
"You have received a pending payment. Click to accept the funds.",fraud
"Your computer is infected with a virus! Download this software to remove it.",fraud
"Your bank needs you to confirm your recent transactions. Click here to review.",fraud
"We noticed an attempt to log in from a new device. Secure your account now.",fraud
"Warning: Someone is trying to hack your Instagram account. Verify immediately.",fraud
"You're the lucky winner of a $500 Amazon gift card. Claim it now!",fraud
"Due to a billing error, you are owed a refund. Click here to claim.",fraud
"Your cryptocurrency wallet has been compromised. Secure it now.",fraud
"We found hidden funds in your name. Contact us to retrieve them.",fraud
"A court case has been filed against you. Pay now to settle out of court.",fraud
"Your Google account has been compromised. Update your security settings.",fraud
"Confirm your bank details to receive your stimulus payment.",fraud
"Your account has been selected for a secret shopper program. Earn $500 instantly.",fraud
"You have been pre-approved for a loan. No credit check required!",fraud
"A relative left you an unclaimed life insurance policy. Act now!",fraud
"Receive unlimited internet data for free! Just sign up now.",fraud
"Government assistance available! Click here to register for free benefits.",fraud
"Win a free PS5! Just pay a small shipping fee to receive it.",fraud
"Hackers have stolen your private data. Pay now to protect your information.",fraud
"Your driver's license is suspended. Click here to reinstate it.",fraud
"Exclusive investment opportunity! Make $5,000 daily with zero risk.",fraud
"Your online banking app has been updated. Download the latest version here.",fraud
